year,season_type,game_id,team,opp,week,completions,attempts,yards,air_yards_intended,air_yards_completed,td,int,sacks,sack_yards,fumbles,fumbles_lost,spikes,epa,epa_pass,epa_int,epa_sack,epa_spike,cpoe,completions_wr,attempts_wr,yards_wr,air_yards_intended_wr,air_yards_completed_wr,td_wr,int_wr,epa_wr,cpoe_wr,completions_te,attempts_te,yards_te,air_yards_intended_te,air_yards_completed_te,td_te,int_te,epa_te,cpoe_te,completions_rb,attempts_rb,yards_rb,air_yards_intended_rb,air_yards_completed_rb,td_rb,int_rb,epa_rb,cpoe_rb,completions_null,attempts_null,yards_null,air_yards_intended_null,air_yards_completed_null,td_null,int_null,epa_null,cpoe_null,completions_other,attempts_other,yards_other,air_yards_intended_other,air_yards_completed_other,td_other,int_other,epa_other,cpoe_other,target_share_wr,target_share_te,target_share_rb,target_share_other,air_yards_intended_share_wr,air_yards_intended_share_te,air_yards_intended_share_rb,air_yards_completed_share_wr,air_yards_completed_share_te,air_yards_completed_share_rb
2020,POST,2020_18_BAL_TEN,BAL,TEN,18,17,29,179,225,106,0,1,5,-14,0,0,0,1.7366358189602773,5.309046903156835,-3.1318320659920573,-3.5724110841965575,0.0,5.980015006558649,9,13,118,177,79,0,1,3.1582069966217237,117.87796914577486,4,6,41,49,28,0,0,1.0754941194900312,45.480015873909,1,1,-6,-6,-6,0,0,-0.8130383113748394,13.602626323699953,0,0,0,0,0,0,0,0.0,0.0,3,4,26,5,5,0,0,1.8883840984199196,-3.54017615318298,0.4482758620689655,0.20689655172413793,0.034482758620689655,0.13793103448275862,0.7866666666666666,0.21777777777777776,-0.02666666666666667,0.7452830188679245,0.2641509433962264,-0.05660377358490566
2020,POST,2020_18_BAL_TEN,TEN,BAL,18,18,27,165,188,95,1,1,1,-7,0,0,0,-0.45103513806609524,1.6714803401053129,-2.7037665887037288,-2.122515478171408,0.0,5.348401268323261,9,16,106,173,81,1,1,1.8160691146295431,-38.37793171405793,5,6,58,22,21,0,0,1.9503091101069003,40.19979834556578,3,3,11,3,3,0,0,-0.975723894184988,90.2097225189209,0,0,0,0,0,0,0,0.0,0.0,1,1,-10,-10,-10,0,0,-1.1191739904461429,52.375245094299316,0.5925925925925926,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.9202127659574468,0.11702127659574468,0.015957446808510637,0.8526315789473684,0.22105263157894736,0.031578947368421054
2020,POST,2020_18_CHI_NO,CHI,NO,18,19,30,199,278,141,1,0,1,-8,0,0,0,-2.4899858548305933,-0.22491149348206865,0.0,-2.2650743613485247,0.0,2.491255601247152,14,20,158,238,119,0,0,0.6498343134880998,103.69433760643007,5,6,41,22,22,1,0,1.61057493527187,48.050397634506226,0,1,0,4,0,0,0,-1.3297755741514266,-77.00706720352174,0,2,0,14,0,0,0,-1.1555451680906117,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.2,0.03333333333333333,0.0,0.8561151079136691,0.07913669064748201,0.014388489208633094,0.8439716312056738,0.15602836879432624,0.0
2020,POST,2020_18_CHI_NO,NO,CHI,18,28,40,265,185,105,2,0,1,-3,1,1,0,8.355172059731558,14.463354500825517,0.0,-6.108182441093959,0.0,2.918652769846794,15,18,173,112,74,1,0,17.09795648115687,165.71714282035828,5,10,44,70,28,0,0,-2.579101955052465,-202.84601151943207,4,4,28,-2,-2,1,0,3.826053817407228,80.98138570785522,0,3,0,0,0,0,0,-3.7874380741268396,0.0,4,4,20,5,5,0,0,-0.09411576855927707,69.97494101524353,0.45,0.25,0.1,0.1,0.6054054054054054,0.3783783783783784,-0.010810810810810811,0.7047619047619048,0.26666666666666666,-0.01904761904761905
2020,POST,2020_18_CLE_PIT,CLE,PIT,18,21,34,263,231,93,3,0,0,0,0,0,0,14.29638738713845,14.29638738713845,0.0,0.0,0.0,-6.742177903652192,8,17,128,142,55,1,0,5.139122691121884,-341.3854956626892,8,12,53,96,45,1,0,1.913639300085262,27.971115708351125,5,5,82,-7,-7,1,0,7.2436253959313035,84.18033123016357,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.35294117647058826,0.14705882352941177,0.0,0.6147186147186147,0.4155844155844156,-0.030303030303030304,0.5913978494623656,0.4838709677419355,-0.07526881720430108
2020,POST,2020_18_CLE_PIT,PIT,CLE,18,47,68,501,565,318,4,4,0,0,0,0,0,7.928173079035697,7.928173079035697,-21.33836010517553,0.0,0.0,4.223922771566055,34,48,405,520,301,3,1,16.73759529928466,373.75929057598114,7,13,62,53,26,1,2,-5.512646896269871,-191.4595931768417,6,7,34,-8,-9,0,1,-3.2967753239790922,104.92705106735228,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.7058823529411765,0.19117647058823528,0.10294117647058823,0.0,0.9203539823008849,0.09380530973451327,-0.01415929203539823,0.9465408805031447,0.08176100628930817,-0.02830188679245283
2020,POST,2020_18_IND_BUF,BUF,IND,18,26,37,324,368,259,2,0,2,-23,1,0,0,9.994116784344284,13.111235384867383,0.0,-3.1171186005230993,0.0,11.698985341432932,17,24,270,345,236,1,0,12.312674383496256,240.48585891723636,2,3,5,3,3,1,0,-0.0962535795988515,25.71412026882172,7,7,49,20,20,0,0,1.2105429341318086,166.66247844696045,0,1,0,0,0,0,0,-0.3157283531618305,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6486486486486487,0.08108108108108109,0.1891891891891892,0.0,0.9375,0.008152173913043478,0.05434782608695652,0.9111969111969112,0.011583011583011582,0.07722007722007722
2020,POST,2020_18_IND_BUF,IND,BUF,18,27,46,309,352,194,2,0,0,0,0,0,0,13.753330371154016,13.753330371154016,0.0,0.0,0.0,-4.485101738701697,10,20,159,185,85,1,0,3.4060626164761048,-288.4768754243851,14,16,136,124,113,1,0,11.98295189384953,315.58889150619507,3,7,14,-7,-4,0,0,-0.5989832295053666,-233.426696062088,0,3,0,50,0,0,0,-1.0367009096662514,0.0,0,0,0,0,0,0,0,0.0,0.0,0.43478260869565216,0.34782608695652173,0.15217391304347827,0.0,0.5255681818181818,0.3522727272727273,-0.019886363636363636,0.4381443298969072,0.5824742268041238,-0.020618556701030927
2020,POST,2020_18_LA_SEA,LA,SEA,18,12,28,184,268,122,1,0,3,-15,0,0,0,0.3936130629112604,4.8034497768385345,0.0,-4.409836713927274,0.0,-25.52304523331778,8,17,126,202,111,1,0,3.8839827548363255,-238.46777081489566,1,4,4,41,4,0,0,-2.5735894923564047,-151.93976163864136,3,3,54,7,7,0,0,3.375010182906408,65.18330574035645,0,1,0,18,0,0,0,0.11804633145220578,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6071428571428571,0.14285714285714285,0.10714285714285714,0.0,0.753731343283582,0.15298507462686567,0.026119402985074626,0.9098360655737705,0.03278688524590164,0.05737704918032787
2020,POST,2020_18_LA_SEA,SEA,LA,18,11,32,174,392,134,2,1,5,-32,0,0,0,-15.52787472332509,-9.06163376291895,-9.071767840068787,-6.4662409604061395,0.0,-12.320418935269117,9,17,168,304,138,2,1,-1.2882147145573983,-20.596119761467,1,7,1,66,0,0,0,-4.968975617783144,-355.88738918304443,1,2,5,25,-4,0,0,-2.244444152297523,-17.769896984100342,0,1,0,-3,0,0,0,-0.559999278280884,0.0,0,0,0,0,0,0,0,0.0,0.0,0.53125,0.21875,0.0625,0.0,0.7755102040816326,0.1683673469387755,0.06377551020408163,1.0298507462686568,0.0,-0.029850746268656716
